formula,state_id,class_label,N_heavy,P_exact,P_emp,energy,is_valid_valence,degree_seq,o_deg,o_implicit_h,n_deg,n_implicit_h,fp0,fp1,fp2,fp3,fp4,fp5,fp6,fp7,fp8,fp9,fp10,fp11,log_ratio_emp_exact
C7H17N,"het:edges=0-1,0-2,0-3,0-4,1-5,2-6,3-7;types=0,0,0,0,1,0,0,0",primary_amine,8,0.002979079008020074,0.0025684931506849314,9.5259375,1,"1,1,1,1,2,2,2,4",,,1,2,2.73125,9.525937500000001,39.126453125000005,178.18205234375006,0.3172098637319432,0.0020046811152940472,0.2299927999355853,0.38505864976623244,0.1342070412783563,0.0002832898652190895,0.11005894260075066,0.1685023655204212,-0.14829473711657598
C7H17N,"het:edges=0-1,0-2,0-3,0-4,3-5,4-6,6-7;types=0,0,0,0,0,0,0,1",primary_amine,8,0.008937237024061321,0.007705479452054794,9.525937500000005,1,"1,1,1,1,2,2,2,4",,,1,2,2.7312500000000006,9.525937500000001,39.126453125,178.01705234374995,0.317175547127288,0.0020058507863466215,0.23061544713863594,0.38991532791002903,0.13426815139030707,0.00035736301695545784,0.10988685742521208,0.1776607806095597,-0.14829477288942877
C7H17N,"het:edges=0-1,0-2,0-3,0-4,3-5,4-6,6-7;types=0,0,0,0,0,0,1,0",secondary_amine,8,0.009249795874932428,0.009703196347031963,9.491562500000002,1,"1,1,1,1,2,2,2,4",,,2,1,2.73125,9.4915625,38.774890625,175.59671640624998,0.31639516525730527,0.00145873108574427,0.23062938120750986,0.34706661224614754,0.13376628828704637,0.00019708478193050904,0.10999638915276137,0.15782379173593175,0.04785386278437782
C7H17N,"het:edges=0-1,0-2,0-3,0-4,3-5,4-6,6-7;types=0,0,0,0,1,0,0,0",secondary_amine,8,0.009249795874932427,0.009703196347031963,9.491562500000006,1,"1,1,1,1,2,2,2,4",,,2,1,2.73125,9.491562499999999,38.77489062499999,175.39046640624994,0.31629395446537156,0.001367635493975423,0.23171199346080368,0.3455638929277373,0.13343732724627966,0.00010739894608618146,0.1122704929727565,0.1465081683507014,0.047853862784378025
C7H17N,"het:edges=0-1,0-2,0-3,0-4,4-5,4-6,4-7;types=0,0,0,0,0,0,0,1",primary_amine,8,0.0011871933766851388,0.0017123287671232876,9.7528125,1,"1,1,1,1,1,1,4,4",,,1,2,2.7312499999999997,9.752812499999997,42.462546875,208.95351640624992,0.31877211985568343,0.00282954361863778,0.22938054451369636,0.38506542934832605,0.13246068389055482,0.0002916991759711222,0.10861908848436362,0.16858130489050083,0.36626202335363894
C7H17N,"het:edges=0-1,0-2,0-3,1-4,1-5,2-6,2-7;types=0,0,0,1,0,0,0,0",primary_amine,8,0.002234309256014919,0.0028538812785388126,9.525937499999998,1,"1,1,1,1,1,3,3,3",,,1,2,2.73125,9.5259375,39.001671875,175.60733046874998,0.31735139174127597,0.0021943063382992775,0.257922043744861,0.387293532604896,0.1341136208845996,0.00030407483209730473,0.11482490100888648,0.17226325227766462,0.24474770016841293
C7H17N,"het:edges=0-1,0-2,0-3,1-4,2-5,2-6,2-7;types=0,0,0,1,0,0,0,0",primary_amine,8,0.002762094296429557,0.001997716894977169,9.6015625,1,"1,1,1,1,1,2,3,4",,,1,2,2.73125,9.6015625,40.196890624999995,187.52596640624992,0.31776848077918396,0.002345528839690179,0.23084356834914707,0.38729578488917116,0.13361149130946873,0.00031132214853573726,0.11049115327794559,0.1722892872178121,-0.323984080529344
C7H17N,"het:edges=0-1,0-2,0-3,1-4,2-5,2-6,3-7;types=0,0,0,0,0,0,0,1",primary_amine,8,0.009639328839163826,0.00684931506849315,9.450312500000003,1,"1,1,1,1,2,2,3,3",,,1,2,2.7312500000000006,9.450312500000003,37.93123437500001,166.24966640625001,0.3168094099172777,0.0018866313537929489,0.2563408901661279,0.3898828757435667,0.1348630556014792,0.00035598795812447016,0.11113755576589622,0.17741243741577145,-0.34170278417318417
C7H17N,"het:edges=0-1,0-2,0-3,1-4,2-5,2-6,3-7;types=0,0,0,1,0,0,0,0",secondary_amine,8,0.009976441700450344,0.00884703196347032,9.415937500000004,1,"1,1,1,1,2,2,3,3",,,2,1,2.73125,9.415937499999998,37.57967187499999,163.76058046874994,0.31599566010194247,0.0013099240158021663,0.2575415855891674,0.3470342102448647,0.13425609489627038,0.00017083411499740144,0.11375362871398206,0.15395643630030634,-0.12014443949862405
C7H17N,"het:edges=0-1,0-2,0-3,1-4,2-5,3-6,3-7;types=0,0,0,0,0,0,0,1",primary_amine,8,0.009639328839163828,0.0059931506849315065,9.450312499999997,1,"1,1,1,1,2,2,3,3",,,1,2,2.7312499999999997,9.450312499999997,37.931234374999974,166.18091640624988,0.31677124914254806,0.001845772281915175,0.25633966541228437,0.3873556244651897,0.13472702750080284,0.00030749449771086586,0.1111202756165533,0.17271825749314595,-0.4752341559405673
C7H17N,"het:edges=0-1,0-2,0-3,1-4,2-5,3-6,3-7;types=0,0,0,1,0,0,0,0",tertiary_amine,8,0.005162672145703765,0.0048515981735159815,9.3815625,1,"1,1,1,1,2,2,3,3",,,3,0,2.73125,9.381562500000005,37.17139062500003,160.4356664062502,0.31537533380738625,0.001015596247034593,0.25741400422258626,0.3455152242156009,0.13391095505580566,0.00010114766755931359,0.11334142226072759,0.14174408040772804,-0.06214611974440401
