formula,state_id,class_label,N_heavy,P_exact,P_emp,energy,is_valid_valence,degree_seq,o_deg,o_implicit_h,n_deg,n_implicit_h,fp0,fp1,fp2,fp3,fp4,fp5,fp6,fp7,fp8,fp9,fp10,fp11,log_ratio_emp_exact
C6H15N,"het:edges=0-1,0-2,0-3,0-4,2-5,3-6;types=0,0,0,0,1,0,0",primary_amine,7,0.01862826935479813,0.015703069236259814,9.399642857142855,1,"1,1,1,1,2,2,4",,,1,2,2.707142857142857,9.399642857142856,38.74608928571428,177.91261696428566,0.31997525690712475,0.002136289933554274,0.2318746117581266,0.3850887463819107,0.13521401439486994,0.0002811779015199311,0.11291762094226052,0.16872190398982115,-0.17082408868568869
C6H15N,"het:edges=0-1,0-2,0-3,2-4,2-5,3-6;types=0,0,0,0,0,0,1",primary_amine,7,0.020309908209677912,0.01998572448251249,9.313214285714285,1,"1,1,1,1,2,3,3",,,1,2,2.7071428571428577,9.31321428571429,37.38012500000002,164.44846160714292,0.31957441444020807,0.0020387052440155257,0.25843848094733834,0.38988307116665016,0.13605590325804434,0.00036636037500143196,0.1144655124192032,0.17741844554060818,-0.016090612498677777
C6H15N,"het:edges=0-1,0-2,0-3,2-4,2-5,3-6;types=0,0,0,1,0,0,0",secondary_amine,7,0.02112367755640314,0.02212705210563883,9.273928571428568,1,"1,1,1,1,2,3,3",,,2,1,2.7071428571428564,9.27392857142857,36.97833928571428,161.60379196428565,0.3186449334542441,0.0013858407976430358,0.25964037712168975,0.3470344054899144,0.13536936081863113,0.00016056350264483324,0.11709818439653574,0.15417115184230226,0.04640636458018733
C6H15N,"het:edges=0-1,0-2,0-3,2-4,3-5,3-6;types=0,0,0,0,0,0,1",primary_amine,7,0.040619816419361444,0.03890078515346181,9.313214285714283,1,"1,1,1,1,2,3,3",,,1,2,2.707142857142856,9.31321428571428,37.38012499999996,164.36989017857118,0.31953080192232364,0.001992246959234801,0.25843725587738625,0.38735580830065747,0.1359004215702669,0.00031122621249329033,0.11444819954032616,0.1727236589986448,-0.043241601275533524
C6H15N,"het:edges=0-1,0-2,0-3,2-4,3-5,3-6;types=0,0,0,1,0,0,0",tertiary_amine,7,0.021970052690549895,0.023911491791577446,9.234642857142859,1,"1,1,1,1,2,3,3",,,3,0,2.7071428571428564,9.234642857142855,36.51173214285713,157.80389017857132,0.3179359487088385,0.0010529860370407345,0.25951271389704145,0.345515413380116,0.13497398649207723,8.08296653119888e-05,0.11668404390776069,0.14174969702704437,0.0846788830915011
C6H15N,"het:edges=0-1,0-2,0-3,2-4,3-5,3-6;types=1,0,0,0,0,0,0",tertiary_amine,7,0.021970052690549885,0.02212705210563883,9.234642857142862,1,"1,1,1,1,2,3,3",,,3,0,2.7071428571428577,9.234642857142859,36.51173214285715,157.72531874999999,0.31789771319642046,0.0010198744393660317,0.2615861918553851,0.345531709911125,0.1348522348877206,5.2255648565508435e-05,0.11986652830041018,0.14189187051661575,0.007120652118279726
C6H15N,"het:edges=0-1,0-2,0-3,2-4,3-5,4-6;types=0,0,0,0,0,1,0",primary_amine,7,0.04428670893995362,0.04675231977159172,9.226785714285711,1,"1,1,1,2,2,2,3",,,1,2,2.7071428571428564,9.226785714285711,36.15676785714284,153.5025598214285,0.31884456295715136,0.0015907887724273748,0.2602765814705955,0.3898832541910154,0.13660598728230652,0.0003388612084925041,0.11707193401209115,0.1774237549618677,0.05417926598941662
C6H15N,"het:edges=0-1,0-2,0-3,2-4,3-5,4-6;types=0,0,0,1,0,0,0",secondary_amine,7,0.046061171228538984,0.04425410421127766,9.187499999999996,1,"1,1,1,2,2,2,3",,,2,1,2.7071428571428577,9.187500000000002,35.75498214285715,150.65789017857148,0.3179155572001179,0.0009375745903710197,0.2614795911134623,0.347034588345454,0.13592548875089036,0.00013698978818328135,0.11971901080184641,0.15435363751512723,-0.04002220381510959
C6H15N,"het:edges=0-1,0-2,0-3,2-4,3-5,5-6;types=0,0,0,0,0,0,1",primary_amine,7,0.04428670893995362,0.05067808708065667,9.226785714285711,1,"1,1,1,2,2,2,3",,,1,2,2.707142857142857,9.226785714285711,36.15676785714284,153.50255982142843,0.3188451263939873,0.0015922520175641241,0.26026026117632195,0.38991551173706157,0.13661424792906737,0.00034500240133422124,0.1169290380395262,0.17766618061558334,0.1348089987326071
C6H15N,"het:edges=0-1,0-2,0-3,2-4,3-5,5-6;types=0,0,0,0,0,1,0",secondary_amine,7,0.04606117122853898,0.04425410421127766,9.1875,1,"1,1,1,2,2,2,3",,,2,1,2.7071428571428577,9.187500000000002,35.75498214285715,150.7364616071429,0.3179537403137445,0.0009709284955751142,0.2602752964254573,0.34706679590423994,0.1360469227661117,0.00016830167699670345,0.11705289549223666,0.15801184046894393,-0.04002220381510948
C6H15N,"het:edges=0-1,0-2,0-3,2-4,3-5,5-6;types=0,0,0,1,0,0,0",secondary_amine,7,0.04606117122853898,0.04461099214846538,9.1875,1,"1,1,1,2,2,2,3",,,2,1,2.707142857142857,9.187500000000002,35.754982142857166,150.5793187500001,0.317872138910146,0.0008932492215236674,0.26147833537558085,0.3455640765848829,0.13577217419718993,8.997856512164985e-05,0.11970094362855742,0.1497505346715825,-0.031990032298619374
C6H15N,"het:edges=0-1,0-2,1-3,1-4,1-5,2-6;types=0,0,0,0,0,0,1",primary_amine,7,0.006209423118266156,0.007494646680942184,9.399642857142847,1,"1,1,1,1,2,2,4",,,1,2,2.7071428571428564,9.39964285714285,38.74608928571423,177.72404553571388,0.3199364162873794,0.002138257685142386,0.23249818118988919,0.3899153285599591,0.1352857905656585,0.00036381212984023793,0.11275185246186353,0.17766085761108869,0.18812096617061871
C6H15N,"het:edges=0-1,0-2,1-3,1-4,1-5,2-6;types=0,0,1,0,0,0,0",secondary_amine,7,0.006458219820955323,0.004282655246252677,9.360357142857142,1,"1,1,1,1,2,2,4",,,2,1,2.707142857142857,9.360357142857143,38.34430357142857,174.95794732142855,0.319044554316517,0.0015178235510912594,0.23251212037437555,0.3470666128956852,0.13471239709641764,0.00018204418370392568,0.1128616561451691,0.157828625159452,-0.41078042977495716
C6H15N,"het:edges=0-1,0-2,1-3,1-4,2-5,2-6;types=0,0,0,0,0,0,1",primary_amine,7,0.020309908209677912,0.01998572448251249,9.313214285714283,1,"1,1,1,1,2,3,3",,,1,2,2.707142857142857,9.313214285714286,37.38012500000001,164.02417589285716,0.31940957465222813,0.001911727033567191,0.26233594468398785,0.38738560727122595,0.1356854380590736,0.0002943748093228087,0.1193603714396434,0.17293572033425486,-0.016090612498677777
C6H15N,"het:edges=0-1,0-2,1-3,1-4,2-5,2-6;types=0,0,1,0,0,0,0",tertiary_amine,7,0.010985026345275718,0.01034975017844397,9.234642857142854,1,"1,1,1,1,2,3,3",,,3,0,2.7071428571428564,9.234642857142854,36.511732142857106,157.5367473214284,0.31784816100102803,0.0009957196775696232,0.2623498361330393,0.34454870113510727,0.13485263079992427,7.905613158356324e-05,0.12024472033278535,0.1434852985227506,-0.059570716469826625
C6H15N,"het:edges=0-1,0-2,1-3,1-4,2-5,2-6;types=1,0,0,0,0,0,0",secondary_amine,7,0.005280919389100778,0.0035688793718772305,9.273928571428575,1,"1,1,1,1,2,3,3",,,2,1,2.7071428571428577,9.273928571428574,36.97833928571429,161.10093482142858,0.31844210587208543,0.001227532429018742,0.26355405643338126,0.343200651206715,0.13487967521446395,6.476134184461907e-05,0.122908997252606,0.1461237919045521,-0.39184847336526146
C6H15N,"het:edges=0-1,0-2,1-3,1-4,2-5,5-6;types=0,0,0,0,0,0,1",primary_amine,7,0.022143354469979757,0.02069950035688794,9.22678571428571,1,"1,1,1,2,2,2,3",,,1,2,2.7071428571428564,9.226785714285711,36.15676785714284,153.32970267857132,0.318779454139437,0.0015425972511467062,0.2623620677513127,0.38991570633977646,0.13648017229154863,0.00032700881410180176,0.12029962669958535,0.1776720947985334,-0.06742786176460962
C6H15N,"het:edges=0-1,0-2,1-3,1-4,2-5,5-6;types=0,0,0,0,0,1,0",secondary_amine,7,0.023030585614270103,0.01998572448251249,9.187499999999995,1,"1,1,1,2,2,2,3",,,2,1,2.707142857142856,9.187499999999995,35.75498214285711,150.56360446428548,0.31788858308078183,0.0009223701438513245,0.2623621574118289,0.34706699032980937,0.13591977772620595,0.00015441095070347082,0.1203024989204672,0.15822078672219445,-0.14180489239639857
C6H15N,"het:edges=0-1,0-2,1-3,1-4,2-5,5-6;types=0,0,1,0,0,0,0",secondary_amine,7,0.023030585614270103,0.021413276231263382,9.187499999999996,1,"1,1,1,2,2,2,3",,,2,1,2.707142857142857,9.187499999999996,35.754982142857116,150.48503303571414,0.3178446021965753,0.0008765461472639858,0.2623771982948473,0.34556427100984854,0.13575824257879227,0.00010105217675256073,0.1204266794465104,0.15337649896464153,-0.07281202424516132
