beta,alpha_H,formula,coverage_unique_eq,kl_exact_emp,coll_cross_pairs,coll_cross_pairs_strict,max_abs_delta_cross,fp_best_auc_best,fp_best_auc_gap
1.0,0.47000000000000003,C7H16O,1.0,0.009034588091835495,0.0,0.0,0.0,1.0,0.20207054802744695
1.0,0.47000000000000003,C6H15N,1.0,0.007433107968888607,0.0,0.0,0.0,1.0,0.16319268837414946
1.0,0.47000000000000003,C7H17N,1.0,0.01447232424132506,0.0,0.0,0.0,0.9999999999999997,0.2020705480275713
1.05,0.43,C4H10O,1.0,0.003040096219181776,0.0,0.0,0.0,1.0,0.09312252312435731
1.05,0.43,C5H12O,1.0,0.0020802645241808247,0.0,0.0,0.0,1.0,0.12770007067141953
1.05,0.43,C4H11N,1.0,0.001291571320631412,0.0,0.0,0.0,1.0,0.09312252312435798
1.05,0.43,C5H13N,1.0,0.0020772812808636,0.0,0.0,0.0,1.0,0.1277000706714212
1.05,0.43,C6H14O,1.0,0.006469204607439901,0.0,0.0,0.0,1.0,0.1624474240504924
1.05,0.43,C7H16O,1.0,0.012272190788709874,0.0,0.0,0.0,0.9999999999999999,0.20115854180224968
1.05,0.43,C6H15N,1.0,0.005665251741814448,0.0,0.0,0.0,1.0,0.16244742405049084
1.05,0.43,C7H17N,1.0,0.013199963323818398,0.0,0.0,0.0,1.0,0.2011585418021664
1.05,0.45,C4H10O,1.0,0.0012222789747285646,0.0,0.0,0.0,1.0,0.09320438577098833
1.05,0.45,C5H12O,1.0,0.003964844105228337,0.0,0.0,0.0,1.0,0.12768413257231215
1.05,0.45,C4H11N,1.0,0.0007138474709430243,0.0,0.0,0.0,1.0,0.09320438577098822
1.05,0.45,C5H13N,1.0,0.003568372118037154,0.0,0.0,0.0,0.9999999999999999,0.1276841325723126
1.05,0.45,C6H14O,1.0,0.0051692287563638185,0.0,0.0,0.0,0.9999999999999998,0.16273524015239937
1.05,0.45,C7H16O,1.0,0.012010900821923336,0.0,0.0,0.0,0.9999999999999997,0.20151436614980556
1.05,0.45,C6H15N,1.0,0.005794961976046602,0.0,0.0,0.0,1.0,0.1627352401524016
1.05,0.45,C7H17N,1.0,0.012450904006216198,0.0,0.0,0.0,0.9999999999999996,0.20151436614981832
1.05,0.47000000000000003,C4H10O,1.0,0.002124657580754432,0.0,0.0,0.0,1.0,0.0932781344581104
1.05,0.47000000000000003,C5H12O,1.0,0.0037607512719696513,0.0,0.0,0.0,1.0,0.12767097706892505
1.05,0.47000000000000003,C4H11N,1.0,0.0019295437681865037,0.0,0.0,0.0,1.0,0.09327813445810995
1.05,0.47000000000000003,C5H13N,1.0,0.0040340034435067664,0.0,0.0,0.0,1.0,0.12767097706892394
1.05,0.47000000000000003,C6H14O,1.0,0.0055851746943170084,0.0,0.0,0.0,1.0,0.16301659065815732
1.05,0.47000000000000003,C7H16O,1.0,0.011568207690215484,0.0,0.0,0.0,1.0,0.2018577714931371
1.05,0.47000000000000003,C6H15N,1.0,0.00894880197777894,0.0,0.0,0.0,1.0,0.16301659065815566
1.05,0.47000000000000003,C7H17N,1.0,0.01590351377495569,0.0,0.0,0.0,1.0,0.20185777149309736
