Z,symbol,role,period,chi_spec,E_port,D_index,A_index,Avg_Complexity,Max_Complexity,Avg_Size,C_total_v1_mean,C_total_v1_std,C_total_fdm_mean,C_total_fdm_std,C_norm_v1_mean,C_norm_v1_std,C_norm_fdm_mean,C_norm_fdm_std,N_min,N_max,N_best,band_width,N_best_map,F_min,Nbest_over_Z,neutron_excess,is_living_hub,is_d_block,is_donor_plateau,is_strong_acceptor_plateau
12,Mg,bridge,3,-0.2711714985895051,0.8675206591196423,0.3125821797312461,0.0,4.629793703912112,14.175741716310904,9.764705882352942,4.629793703912112,5.084550313045867,4.5595188398069295,2.5622571048622538,0.1270771832556292,0.0104156768189741,0.3376868543801465,0.2263841263512356,12.0,21.0,21.0,2.0,21.0,-256.3736544847914,1.75,9.0,False,False,True,False
13,Al,hub,3,0.1062793605944134,0.8591702554115879,0.0,0.1237,7.701658597556593,14.07781593985264,15.5,7.701658597556593,4.549165925620533,6.021339133519073,1.6214516852997345,0.1191586934498187,0.0048085112132762,0.1403869852091908,0.0952558148272472,13.0,23.0,22.0,2.0,23.0,-269.3290933428309,1.6923076923076923,9.0,False,False,False,False
14,Si,hub,3,1.28412357586791,1.0380950492060712,0.0,1.237,3.779275965283452,10.64912221833619,9.210526315789474,3.779275965283452,2.408457547460584,4.8413175977788505,1.329067310161189,0.1194004164947606,0.0057603646213575,0.2002686516042643,0.089499714973061,14.0,25.0,25.0,1.0,25.0,-288.3610366808112,1.7857142857142858,11.0,True,False,False,True
15,P,hub,3,1.456246250482485,1.177240299500796,0.0,1.237,7.216425843339023,13.979890163394376,14.7,7.216425843339023,4.642987010365541,5.968068449112038,1.5451148817751377,0.1188330185865008,0.0034714912320526,0.1479379013745717,0.0953707738171181,15.0,27.0,27.0,1.0,27.0,-325.6028414794568,1.8,12.0,True,False,False,True
16,S,bridge,3,1.8054053173860145,1.4595030860032452,0.0,1.237,4.353712554913916,13.881964386936112,9.61111111111111,4.353712554913916,3.962158264873086,5.021748122367852,2.1700670316395243,0.1249971834186983,0.0075704045667412,0.2722692001184479,0.1800288365294028,16.0,28.0,28.0,1.0,28.0,-358.42944551585293,1.75,12.0,False,False,False,True
17,Cl,terminator,3,4.158549240271395,3.3618021344150315,0.0,1.237,1.969495390315864,4.767999830199894,5.285714285714286,1.969495390315864,1.8216997319384567,3.715552453778909,2.0998594594510647,0.131787463532762,0.0094831931252364,0.4268033942905555,0.2073975643565066,17.0,30.0,30.0,2.0,30.0,-386.6741263700389,1.7647058823529411,13.0,False,False,False,True
18,Ar,inert,3,0.0,0.0,-0.0,0.0,,,,,,,,,,,,18.0,32.0,30.0,3.0,32.0,-412.9501595939521,1.6666666666666667,12.0,False,False,False,False
19,K,terminator,4,-0.1636179321491586,0.8465277006908775,0.19328125,0.0,1.7173701217268735,4.335820628895146,4.8,1.7173701217268735,1.4527769164056392,3.637044485975856,1.6421220452546843,0.1326666616474104,0.0061680220678207,0.4084842912472835,0.1724381013674376,19.0,34.0,32.0,4.0,34.0,-430.3504536284027,1.6842105263157894,13.0,False,False,True,False
20,Ca,bridge,4,-0.221710839068987,0.7092881598676257,0.3125821797312461,0.0,3.807696140756211,13.784038610477849,8.842105263157896,3.807696140756211,3.3391712920341807,4.848564545152724,1.889503269148352,0.1239821979309524,0.0074598531916907,0.2698073001941417,0.1669538988729976,20.0,36.0,32.0,4.0,34.0,-447.9145693737404,1.6,12.0,False,False,True,False
21,Sc,inert,4,-0.0999999999999996,6.0,0.0166666666666666,0.0,,,,,,,,,,,,21.0,37.0,32.0,4.0,34.0,-459.3342627471797,1.5238095238095237,11.0,False,True,True,False
22,Ti,inert,4,0.2600000000000002,6.0,0.0,0.0433333333333333,,,,,,,,,,,,22.0,39.0,32.0,5.0,34.0,-471.1652809344862,1.4545454545454546,10.0,False,True,False,False
23,V,hub,4,0.4399999999999999,6.0,0.0,0.0733333333333333,12.063514269676247,14.469519045685695,22.0,12.063514269676247,3.3259567890313484,6.456352881294241,0.7538276865544213,0.120559438650874,0.0038586449156209,0.0723411717533125,0.0304030474340107,23.0,41.0,32.0,5.0,41.0,-498.9672499999999,1.391304347826087,9.0,False,True,False,False
24,Cr,hub,4,0.5,6.0,0.0,0.0833333333333333,11.798046096580798,14.567444822143958,21.45,11.798046096580798,3.283004111704169,6.363857830861094,0.7863187872783899,0.122221497010704,0.0046833189616556,0.0744854085510871,0.0338696929649669,24.0,43.0,43.0,1.0,43.0,-535.2004686327801,1.7916666666666667,19.0,False,True,False,False
25,Mn,inert,4,0.2800000000000002,6.0,0.0,0.0466666666666667,,,,,,,,,,,,25.0,45.0,45.0,1.0,45.0,-576.3229653119715,1.8,20.0,False,True,False,False
26,Fe,hub,4,0.8400000000000003,6.0,0.0,0.14,11.713084994263468,14.665370598602223,21.35,11.713084994263468,3.519620757297892,6.302738464999585,0.7097332854506322,0.1212595109166409,0.0031754673138956,0.0750226878493396,0.0356526127791521,26.0,46.0,46.0,1.0,46.0,-607.4449252316928,1.7692307692307692,20.0,False,True,False,False
27,Co,hub,4,0.94,6.0,0.0,0.1566666666666666,11.245873611664988,14.567444822143958,20.6,11.245873611664988,3.5439691501584565,6.15006675320804,0.7589228868981007,0.1228132611694743,0.0045311124017236,0.0750185661812448,0.0261587263101795,27.0,48.0,48.0,1.0,48.0,-639.4360131633047,1.7777777777777777,21.0,False,True,False,False
28,Ni,hub,4,1.0,6.0,0.0,0.1666666666666666,10.943369108771709,14.371593269227432,20.3,10.943369108771709,3.9881517765264967,6.115552036554842,0.9962465361169112,0.1214790740877563,0.0069331486799047,0.0820787974752274,0.0428754815672096,28.0,50.0,50.0,1.0,50.0,-668.6819380715857,1.7857142857142858,22.0,False,True,False,False
29,Cu,hub,4,0.98,6.0,0.0,0.1633333333333333,12.790038352571404,14.371593269227432,23.0,12.790038352571404,2.567741583565706,6.5383108384870825,0.6152414172164713,0.120998401642143,0.0024568139377609,0.065078888683529,0.0173771101660679,29.0,52.0,52.0,2.0,52.0,-689.69080954077,1.793103448275862,23.0,False,True,False,False
30,Zn,hub,4,0.48,6.0,0.0,0.08,11.440920907718125,14.567444822143958,20.7,11.440920907718125,4.560180534537304,5.986789938108495,1.124883540010853,0.1232913754398627,0.0048006577662878,0.0815548202625859,0.0449615906599073,30.0,54.0,54.0,3.0,54.0,-707.846800855603,1.8,24.0,False,True,False,False
31,Ga,hub,4,0.086894405701436,0.7024608383301212,0.0,0.1237,7.082155500856048,13.784038610477849,14.65,7.082155500856048,3.8608663137161474,5.926778165192091,1.358277968104277,0.1188420358231095,0.0034064755125211,0.131343056300077,0.06673702607667,31.0,55.0,54.0,4.0,55.0,-716.0365139773623,1.7419354838709677,23.0,False,False,False,False
32,Ge,hub,4,1.049904274434544,0.8487504239567859,0.0,1.237,9.45973770475118,13.979890163394376,18.35,9.45973770475118,4.384222568190992,6.155925873268248,1.291961234769267,0.1181690885405012,0.0033624820952517,0.1050839503384905,0.0714480675053252,32.0,57.0,54.0,4.0,56.0,-726.5092338557777,1.6875,22.0,True,False,False,True
33,As,hub,4,1.1906324217881263,0.9625161049216866,0.0,1.237,5.863832486884752,13.686112834019584,12.6,5.863832486884752,3.8393755478176583,5.404649387497327,1.667635485837727,0.1197913415145831,0.0055383652912201,0.1692780555509889,0.1069458974790422,33.0,59.0,54.0,4.0,56.0,-730.1017109518591,1.6363636363636365,21.0,True,False,False,True
