formula,state_id,class_label,N_heavy,P_exact,P_emp,energy,is_valid_valence,degree_seq,o_deg,o_implicit_h,n_deg,n_implicit_h,fp0,fp1,fp2,fp3,fp4,fp5,fp6,fp7,fp8,fp9,fp10,fp11,log_ratio_emp_exact
C6H15N,"het:edges=0-1,0-2,0-3,0-4,2-5,3-6;types=0,0,0,0,1,0,0",primary_amine,7,0.01844372447193152,0.023554603854389723,9.19072857142858,1,"1,1,1,1,2,2,4",,,1,2,2.664285714285715,9.190728571428577,37.809442142857165,173.5162868157144,0.3272800792494843,0.002395647420110142,0.23271758346945104,0.392662391128688,0.14132049430117233,0.00033056458720908186,0.11486152322764712,0.1751160129948849,0.24459710674303584
C6H15N,"het:edges=0-1,0-2,0-3,2-4,2-5,3-6;types=0,0,0,0,0,0,1",primary_amine,7,0.020237812227143846,0.022483940042826552,9.097899999999997,1,"1,1,1,1,2,3,3",,,1,2,2.6642857142857146,9.097900000000001,36.365664714285735,159.43729936714297,0.3267845561459511,0.0022751826325797106,0.2613524129949861,0.3977578662790348,0.14216082521910886,0.00042079780599465377,0.11755590369262227,0.18464644582705736,0.10524852650777604
C6H15N,"het:edges=0-1,0-2,0-3,2-4,2-5,3-6;types=0,0,0,1,0,0,0",secondary_amine,7,0.021010238990800262,0.022483940042826552,9.060442857142855,1,"1,1,1,1,2,3,3",,,2,1,2.664285714285714,9.060442857142856,35.99065957142856,156.8229126957142,0.3258583953145503,0.001613998259629576,0.26247218691675467,0.35734348114271763,0.1414203790267028,0.00019384623218904898,0.12004084970448675,0.15799021569637048,0.06779138546726866
C6H15N,"het:edges=0-1,0-2,0-3,2-4,3-5,3-6;types=0,0,0,0,0,0,1",primary_amine,7,0.04047562445429192,0.0417558886509636,9.097900000000001,1,"1,1,1,1,2,3,3",,,1,2,2.664285714285715,9.097900000000001,36.36566471428572,159.36238508142858,0.32674170298594574,0.002228324230366262,0.261351219202116,0.39506613910559324,0.14200247388449655,0.00036130592056482876,0.1175386290892186,0.17948219963152445,0.031140558532704865
C6H15N,"het:edges=0-1,0-2,0-3,2-4,3-5,3-6;types=0,0,0,1,0,0,0",tertiary_amine,7,0.021812147355458555,0.022483940042826552,9.022985714285715,1,"1,1,1,1,2,3,3",,,3,0,2.6642857142857146,9.022985714285715,35.551602714285714,153.2804953442857,0.32515824602823823,0.0012878498016827605,0.2623482968301552,0.3559141233438005,0.14099587253683038,0.00011089156584380502,0.1196303432297682,0.15018218635613947,0.03033424435993202
C6H15N,"het:edges=0-1,0-2,0-3,2-4,3-5,3-6;types=1,0,0,0,0,0,0",tertiary_amine,7,0.02181214735545855,0.023911491791577446,9.022985714285719,1,"1,1,1,1,2,3,3",,,3,0,2.6642857142857146,9.022985714285715,35.55160271428571,153.20558105857137,0.32512085513555544,0.0012548370244637383,0.2645582770118151,0.3559293975461849,0.14087294326366376,8.0598184935129e-05,0.12314515859667605,0.15031800177155322,0.09189213470407086
C6H15N,"het:edges=0-1,0-2,0-3,2-4,3-5,4-6;types=0,0,0,0,0,1,0",primary_amine,7,0.044412834768211916,0.04068522483940043,9.005071428571426,1,"1,1,1,2,2,2,3",,,1,2,2.6642857142857137,9.005071428571425,35.08062414285712,148.13367872428557,0.32591643650734053,0.0017478728019893438,0.26330126766315565,0.39775805994242236,0.1426736914104329,0.00038279449950733496,0.12040294596283731,0.18465218898327443,-0.08766349647861514
C6H15N,"het:edges=0-1,0-2,0-3,2-4,3-5,4-6;types=0,0,0,1,0,0,0",secondary_amine,7,0.04610796178291836,0.04318344039971449,8.967614285714285,1,"1,1,1,2,2,2,3",,,2,1,2.6642857142857146,8.967614285714287,34.705619,145.51929205285714,0.3249907377301954,0.0010860754220981498,0.2644221225947567,0.3573436746352197,0.14193925137377433,0.00015986528459185394,0.12290215508632005,0.15818662103670872,-0.06552854272759707
C6H15N,"het:edges=0-1,0-2,0-3,2-4,3-5,5-6;types=0,0,0,0,0,0,1",primary_amine,7,0.044412834768211916,0.04032833690221271,9.00507142857143,1,"1,1,1,2,2,2,3",,,1,2,2.6642857142857146,9.00507142857143,35.08062414285716,148.1336787242858,0.32591698801925967,0.0017493419065532725,0.2632859721591396,0.39779231966212736,0.14268201199495847,0.00038933500428071715,0.12026646824223908,0.1849165992458303,-0.0964741259432572
C6H15N,"het:edges=0-1,0-2,0-3,2-4,3-5,5-6;types=0,0,0,0,0,1,0",secondary_amine,7,0.04610796178291839,0.04568165596002855,8.96761428571428,1,"1,1,1,2,2,2,3",,,2,1,2.664285714285714,8.967614285714287,34.70561900000002,145.59420633857158,0.3250280652511277,0.0011192372260705001,0.26330001466337627,0.35737788357145617,0.14206172108289128,0.0001927046015730615,0.12038393058575003,0.1621716011037545,-0.009288825671121485
C6H15N,"het:edges=0-1,0-2,0-3,2-4,3-5,5-6;types=0,0,0,1,0,0,0",secondary_amine,7,0.04610796178291836,0.05353319057815846,8.967614285714285,1,"1,1,1,2,2,2,3",,,2,1,2.664285714285714,8.967614285714282,34.70561899999998,145.44437776714275,0.3249480825222311,0.001041413817167086,0.2644208990724514,0.3559637759153917,0.1417831908778024,0.00010917579032934,0.12288413682423281,0.1531248015000555,0.149316201294893
C6H15N,"het:edges=0-1,0-2,1-3,1-4,1-5,2-6;types=0,0,0,0,0,0,1",primary_amine,7,0.006147908157310368,0.007137758743754461,9.190728571428568,1,"1,1,1,1,2,2,4",,,1,2,2.664285714285714,9.190728571428567,37.809442142857115,173.29480110142836,0.3272252126278846,0.002384886875632703,0.23353769448855252,0.39779212582429047,0.14135169084563085,0.00041162750974762163,0.11510440409173897,0.18491084012466139,0.14928691614622283
C6H15N,"het:edges=0-1,0-2,1-3,1-4,1-5,2-6;types=0,0,1,0,0,0,0",secondary_amine,7,0.006382558461795401,0.007137758743754461,9.15327142857142,1,"1,1,1,1,2,2,4",,,2,1,2.664285714285714,9.153271428571427,37.43443699999999,170.75532871571423,0.32633582710992204,0.0017560625692880259,0.23355067348301195,0.35737768990423213,0.1407253673295455,0.00020966688218570235,0.11520796318682602,0.1619743397495132,0.11182977926905327
