seed,proposal_policy,mh_proposals,mh_accepted,mh_rejected,acceptance_rate,n,m,cyclomatic,E_3d,total_fdm,total_entangled,penalty_factor_3d,elapsed_sec
27,ctt_biased,13,8,5,0.6153846153846154,6,8,3,0.15467209061206463,3.7696361440826194,4.352693647334688,1.1546720906120669,1.4944400787353516
28,ctt_biased,4,0,4,0.0,1,0,0,0.0,0.0,0.0,0.0,0.14321279525756836
29,ctt_biased,20,16,4,0.8,14,16,3,0.09064811189365046,5.0663589899844155,5.525614866601913,1.0906481118936482,7.305904150009155
30,ctt_biased,20,16,4,0.8,17,16,0,0.00035185632199594136,6.551705870089461,6.5540111292197105,1.000351856321996,5.990658521652222
31,ctt_biased,4,3,1,0.75,3,3,1,0.0,2.4618802153517008,2.4618802153517008,1.0,0.23638677597045898
32,ctt_biased,3,0,3,0.0,1,0,0,0.0,0.0,0.0,0.0,0.1208341121673584
33,ctt_biased,16,10,6,0.625,8,10,3,0.07576927587772996,4.675378232544256,5.0296282556786345,1.0757692758777297,2.4462690353393555
34,ctt_biased,3,0,3,0.0,1,0,0,0.0,0.0,0.0,0.0,0.12149572372436523
35,ctt_biased,2,0,2,0.0,1,0,0,0.0,0.0,0.0,0.0,0.07346367835998535
36,ctt_biased,4,0,4,0.0,1,0,0,0.0,0.0,0.0,0.0,0.14950108528137207
37,ctt_biased,27,27,0,1.0,25,27,3,0.009400971767156418,7.013550880332734,7.079485074146227,1.0094009717671522,23.436760663986206
38,ctt_biased,29,27,2,0.9310344827586207,25,27,3,0.017811031064831884,7.159525400198151,7.2870439292558915,1.017811031029265,13.464831829071045
39,ctt_biased,4,1,3,0.25,2,1,0,0.0,1.9211838203770515,1.9211838203770515,1.0,0.07590103149414062
40,ctt_biased,17,11,6,0.6470588235294118,9,11,3,0.18462508386459694,5.42888162545283,6.431189350843021,1.1846250838645958,1.1808671951293945
41,ctt_biased,3,0,3,0.0,1,0,0,0.0,0.0,0.0,0.0,0.03340458869934082
42,ctt_biased,10,3,7,0.3,3,3,1,0.0,2.4618802153517008,2.4618802153517008,1.0,0.21984434127807617
43,ctt_biased,16,12,4,0.75,10,12,3,0.1670492262874308,5.035335545525016,5.876484452502568,1.1670492262874308,1.400109052658081
44,ctt_biased,3,0,3,0.0,1,0,0,0.0,0.0,0.0,0.0,0.03836774826049805
45,ctt_biased,4,0,4,0.0,1,0,0,0.0,0.0,0.0,0.0,0.051348209381103516
46,ctt_biased,2,0,2,0.0,1,0,0,0.0,0.0,0.0,0.0,0.029915571212768555
47,ctt_biased,4,0,4,0.0,1,0,0,0.0,0.0,0.0,0.0,0.03828144073486328
48,ctt_biased,20,12,8,0.6,10,12,3,0.0809614577329827,5.847976914796645,6.321437650607412,1.0809614577329827,1.7333095073699951
49,ctt_biased,11,8,3,0.7272727272727273,6,8,3,0.19550468117343356,3.5441155712056793,4.237006755996047,1.1955046811734336,0.5336008071899414
