seed,n,cyclomatic,cycle_load,C_norm_fdm,C_norm_fdm_loopy,penalty_factor,mode
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,12,3,0.25,0.1462809809883204,0.31450410912488885,2.15,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,10,3,0.3,0.14896572572516037,0.3277245965953528,2.1999999999999997,CY1B
Li,9,2,0.2222222222222222,0.19133297455648768,0.34865119808071093,1.8222222222222224,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,25,3,0.12,0.07224258656904138,0.14593002486946358,2.02,CY1B
Li,10,3,0.3,0.15396762160819652,0.3387287675380323,2.1999999999999997,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,5,3,0.6,0.24293250516799603,0.6073312629199901,2.5,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,6,3,0.5,0.27293390992374117,0.6550413838169789,2.4000000000000004,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,5,3,0.6,0.2582639938968138,0.6456599847420346,2.5,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,8,3,0.375,0.22328559757519303,0.5079747344835641,2.275,CY1B
Li,23,0,0.0,0.08066204210501962,0.08066204210501962,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,10,3,0.3,0.13327694520826944,0.2932092794581927,2.1999999999999993,CY1B
Li,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,4,3,0.75,0.30624999999999997,0.8115624999999999,2.65,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,12,3,0.25,0.14663719428563754,0.3152699677141207,2.15,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,12,3,0.25,0.14965093776381855,0.3217495161922099,2.15,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,17,3,0.17647058823529413,0.09366792127744633,0.1944986835937562,2.076470588235294,CY1B
Li,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Li,3,1,0.3333333333333333,0.41031336922528344,0.6701785030679629,1.633333333333333,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,4,3,0.75,0.30624999999999997,0.8115624999999999,2.65,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,5,2,0.4,0.2582639938968138,0.5165279877936276,2.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,15,3,0.2,0.12181682764758556,0.2558153380599297,2.1,CY1B
Li,3,1,0.3333333333333333,0.41031336922528344,0.6701785030679629,1.633333333333333,CY1B
Li,22,3,0.13636363636363635,0.07617611018975387,0.15512226075004423,2.036363636363636,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Li,11,3,0.2727272727272727,0.12966676680521422,0.28173052060405634,2.172727272727273,CY1B
Li,12,3,0.25,0.1495710888013059,0.32157784092280767,2.15,CY1B
Li,5,3,0.6,0.27938383802778455,0.6984595950694614,2.5,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,5,1,0.2,0.30518463766159004,0.4577769564923851,1.5,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,1,0,0.0,0.0,0.0,1.0,CY1B
Li,5,3,0.6,0.27938383802778455,0.6984595950694614,2.5,CY1B
Li,6,3,0.5,0.2649007050337927,0.6357616920811023,2.3999999999999995,CY1B
Li,11,3,0.2727272727272727,0.15854302856600405,0.3444707620661361,2.172727272727273,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,11,3,0.2727272727272727,0.138504019279951,0.30093146007189353,2.1727272727272724,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,12,3,0.25,0.14879245465929528,0.31990377751748483,2.15,CY1B
Na,24,3,0.125,0.07559132335649127,0.1530724297968948,2.025,CY1B
Na,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,9,2,0.2222222222222222,0.19769924677571196,0.36025196079129734,1.8222222222222222,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Na,13,3,0.23076923076923078,0.1236164792176415,0.26339819033297457,2.1307692307692307,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,23,3,0.13043478260869565,0.07877636445414356,0.15995027043515234,2.0304347826086953,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,8,3,0.375,0.17071546383304903,0.3883776802201865,2.2749999999999995,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,18,3,0.16666666666666666,0.09257846682350068,0.19132883143523471,2.0666666666666664,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,15,3,0.2,0.10497125981640035,0.22043964561444074,2.1,CY1B
Na,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,4,1,0.25,0.33303300858899104,0.5162011633129361,1.5499999999999998,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,23,3,0.13043478260869565,0.07882228035508759,0.16004349967750395,2.0304347826086957,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,12,3,0.25,0.14454615343101898,0.31077422987669084,2.1500000000000004,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,3,1,0.3333333333333333,0.41031336922528344,0.6701785030679629,1.633333333333333,CY1B
Na,15,3,0.2,0.12363986840079186,0.25964372364166294,2.1,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,8,3,0.375,0.19461577003808636,0.44275087683664643,2.275,CY1B
Na,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Na,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,7,2,0.2857142857142857,0.23419170196841693,0.44161863799758616,1.8857142857142855,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,4,3,0.75,0.30624999999999997,0.8115624999999999,2.65,CY1B
Na,2,0,0.0,0.6060660171779821,0.6060660171779821,1.0,CY1B
Na,10,2,0.2,0.17178103117583585,0.30920585611650453,1.8,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,7,2,0.2857142857142857,0.23269413466351582,0.4387946539369156,1.885714285714286,CY1B
Na,3,1,0.3333333333333333,0.41031336922528344,0.6701785030679629,1.633333333333333,CY1B
Na,12,3,0.25,0.14679536470962362,0.3156100341256908,2.15,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
Na,1,0,0.0,0.0,0.0,1.0,CY1B
