seed,mode,n,m,cyclomatic,cycle_load,crossing,crossing_density,C_norm_fdm,C_norm_fdm_loopy,penalty_factor,is_exact
Na,CY1B,2,1,0,0.0,0,0.0,0.6060660171779821,0.6060660171779821,1.0,True
Na,CY1B,5,7,3,0.6,0,0.0,0.2735954826256316,0.6839887065640791,2.5,True
Na,CY1B,2,1,0,0.0,0,0.0,0.6060660171779821,0.6060660171779821,1.0,True
Na,CY1B,2,1,0,0.0,0,0.0,0.6060660171779821,0.6060660171779821,1.0,True
Na,CY1B,2,1,0,0.0,0,0.0,0.6060660171779821,0.6060660171779821,1.0,True
Na,CY1B,2,1,0,0.0,0,0.0,0.6060660171779821,0.6060660171779821,1.0,True
Na,CY1B,2,1,0,0.0,0,0.0,0.6060660171779821,0.6060660171779821,1.0,True
Na,CY1B,8,10,3,0.375,1,0.1,0.20791381725597052,0.47300393425733295,2.275,True
Na,CY1B,3,3,1,0.3333333333333333,0,0.0,0.41031336922528344,0.6701785030679629,1.633333333333333,True
Na,CY1B,4,5,2,0.5,0,0.0,0.30624999999999997,0.643125,2.1,True
Na,CY1B,2,1,0,0.0,0,0.0,0.6060660171779821,0.6060660171779821,1.0,True
Na,CY1B,2,1,0,0.0,0,0.0,0.6060660171779821,0.6060660171779821,1.0,True
Na,CY1B,2,1,0,0.0,0,0.0,0.6060660171779821,0.6060660171779821,1.0,True
Na,CY1B,5,6,2,0.4,0,0.0,0.30518463766159004,0.6103692753231801,2.0,True
Na,CY1B,2,1,0,0.0,0,0.0,0.6060660171779821,0.6060660171779821,1.0,True
Na,CY1B,3,3,1,0.3333333333333333,0,0.0,0.41031336922528344,0.6701785030679629,1.633333333333333,True
Na,CY1B,2,1,0,0.0,0,0.0,0.6060660171779821,0.6060660171779821,1.0,True
Na,CY1B,2,1,0,0.0,0,0.0,0.6060660171779821,0.6060660171779821,1.0,True
Na,CY1B,3,3,1,0.3333333333333333,0,0.0,0.41031336922528344,0.6701785030679629,1.633333333333333,True
