idx,n,cyclomatic,total_off,total_on,t_off_sec,t_on_sec,speedup
49,20,0,5.729510241869905,5.715031337190911,0.3907488000113517,0.001055500004440546,370.20255648266243
50,20,0,6.212309317972137,6.208783260208754,0.3936132999951951,0.00047559995437040925,827.6142509648753
51,20,0,7.033474223509813,7.019493980299011,0.3986165000242181,0.0004859999753534794,820.1986013153495
52,20,0,6.661599794649727,6.650772696341153,0.3930468000471592,0.0004751000087708235,827.2927652938757
53,20,0,7.569355850520289,7.561073409961745,0.39329759997781366,0.00046850001672282815,839.4825740433103
54,20,0,6.366871628069665,6.358436074694977,0.40347550000296906,0.0005657000001519918,713.2322784065116
55,20,0,7.006655983645408,6.999384877951737,0.40970499999821186,0.00043830001959577203,934.759255489123
56,20,0,6.814842983320249,6.812865705391647,0.41526219999650493,0.0004692000220529735,885.0430103978578
57,20,0,6.276322332415556,6.259732269142196,0.40331720001995564,0.0005241999751888216,769.3956869698003
58,20,0,6.200847721400419,6.180338011957417,0.4106514999875799,0.0005004999693483114,820.4825677058062
59,20,0,6.701213658093581,6.677874872187255,0.4020156000042334,0.0005283000064082444,760.9608084948147
60,20,0,7.9552077570510935,7.944185238566052,0.40044830000260845,0.0004894000012427568,818.2433571428911
61,20,0,6.667424121257587,6.658482787245035,0.3958015000098385,0.00046469998778775334,851.7355507024814
62,20,0,7.150125868657137,7.133142983326891,0.390710300009232,0.0005505000008270144,709.7371469977641
63,20,0,7.07078114351434,7.058691159553572,0.3900788999744691,0.00048049999168142676,811.8187444904116
64,20,0,6.462081735605706,6.4584102267086125,0.4004581000190228,0.00047200004337355494,848.428100041695
65,20,0,6.5461767279906615,6.539771029674943,0.3888507999945432,0.0006003000307828188,647.7607530478782
66,20,0,7.945272932091498,7.891083976672141,0.39444810000713915,0.0004982000100426376,791.7464714089047
67,20,0,7.806628584575782,7.771855951632703,0.3949939999729395,0.0005186999915167689,761.5076275939554
68,20,0,5.837461801658105,5.833299360671995,0.388553700002376,0.0004474999732337892,868.2764765203289
69,20,0,7.829089846450667,7.811552757086859,0.3924299999489449,0.000458399998024106,856.0863910132654
70,20,0,6.469963886229779,6.453818479694629,0.3851432000519708,0.00046519999159500003,827.9088714758058
71,20,0,6.49097406398467,6.4748197160159515,0.3904399000457488,0.0005625999765470624,693.992030433524
72,20,0,6.68147787395184,6.664173527474291,0.408891599974595,0.0004887999966740608,836.5212822357076
73,20,0,7.656288198451404,7.653976236549715,0.39586980000603944,0.00045579997822642326,868.5164960876481
74,20,0,6.992487930848283,6.982460499182675,0.4003299999749288,0.000507200020365417,789.2941322961842
75,20,0,6.477772896834543,6.47566931616955,0.4041366999736056,0.0004004999645985663,1009.0804886304659
76,20,0,8.236285416888906,8.202762156588786,0.39634679997107014,0.0004699999699369073,843.2911177085302
77,20,0,6.83839523052378,6.816719986959574,0.3961890999926254,0.0005030999891459942,787.4957434706993
78,20,0,6.133477202950718,6.10524368324935,0.38815559999784455,0.0005534999654628336,701.2748405020603
79,20,0,8.093722565138822,8.08702153633603,0.39026450004894286,0.0004905000096186996,795.6462638039969
80,20,0,6.369601910513028,6.363734079048208,0.40620800002943724,0.00048809999134391546,832.2229199615431
81,20,0,6.417060510064213,6.400445380367108,0.4099506000056863,0.0005097999819554389,804.1400833974916
82,20,0,5.703394756507785,5.7024313629249175,0.39142669999273494,0.00041470001451671124,943.8791567174193
83,20,0,7.190114355976119,7.1612205924206895,0.4015470999875106,0.0005160999717190862,778.0413136819026
84,20,0,6.036074813250433,6.03366647882958,0.40495820000069216,0.000501600035931915,807.3328767776632
85,20,0,5.954050768443884,5.9448851191642795,0.39250620000530034,0.0005028000450693071,780.6407414923688
86,20,0,6.816028947068359,6.80877143102845,0.4046540000126697,0.0006748000159859657,599.665071764144
87,20,0,7.534641513508466,7.524035756509415,0.4028790000011213,0.0004406999796628952,914.1797562806689
88,20,0,6.195729585079939,6.164022347313901,0.39116500003729016,0.0004673000075854361,837.0746708489487
89,20,0,6.481190426077874,6.474630969566502,0.395487800007686,0.00044540001545101404,887.9384514776303
90,20,0,6.274304807780266,6.264415524435034,0.40062690002378076,0.0005268999957479537,760.3471308726741
91,20,0,6.226124735831971,6.218184830517448,0.40567780000856146,0.001187400019261986,341.65217570124815
92,20,0,8.611926198227282,8.574610627710754,0.4026904999627732,0.0005198999424465001,774.5538460108827
93,20,0,7.67579592536094,7.6220434316258885,0.38994299998739734,0.0005064000142738223,770.0295991234827
94,20,0,7.546750028130543,7.5414814646820725,0.4120924000162631,0.0004464000230655074,923.1460096851075
95,20,0,8.279855849314849,8.267127907129083,0.4012944999849424,0.0005041000549681485,796.0612105275374
96,20,0,6.788099256563984,6.774427354701364,0.40451679995749146,0.0005945999873802066,680.3175387537138
97,20,0,8.42487919018491,8.415374906912172,0.4032588000409305,0.0005301999626681209,760.5787031964593
98,20,0,7.574825462595641,7.570533803614367,0.40191189997131005,0.0004268999909982085,941.4661711084381
99,20,0,6.848201864816386,6.838929285306615,0.3904274000087753,0.0004692000220529735,832.1129191351473
100,20,0,6.177262209641111,6.168612152215294,0.38788080000085756,0.001288499974180013,301.0328349037807
101,20,0,7.123790263142741,7.102607156621464,0.3949335000361316,0.00048340001376345754,816.9910814884352
102,20,0,6.3607738662754505,6.356826225491931,0.38779409998096526,0.000506300013512373,765.9373684205685
103,20,0,6.754369811704569,6.733474806865942,0.38846980000380427,0.000493600033223629,787.013318185506
