seed,role,n,C1,C2,C1_norm,C2_norm,lambda_fdm,q_fdm
K,terminator,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
K,terminator,16,7.64083012516794,7.340581507673649,0.1168333270222256,0.11224232783221146,0.3,1.0
K,terminator,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
K,terminator,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
K,terminator,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
K,terminator,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
K,terminator,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
K,terminator,15,7.2514280724492455,7.323935633172986,0.12085713454082075,0.12206559388621643,0.3,1.0
K,terminator,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
K,terminator,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
K,terminator,13,5.983892423889943,7.131601321991771,0.12089742791132911,0.14408552086859794,0.3,1.0
K,terminator,5,1.5380526636950798,4.298466588588096,0.11899999812500119,0.33257477331983765,0.3,1.0
K,terminator,7,2.529999889166732,5.339166134522258,0.12047618519841581,0.2542460064058218,0.3,1.0
K,terminator,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
K,terminator,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
K,terminator,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
K,terminator,16,7.815228446715517,7.392671389047715,0.11949999226667081,0.11303881643952642,0.3,1.0
K,terminator,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
K,terminator,6,2.0886719542084933,4.59733413252505,0.12399999360000384,0.27293390992374117,0.3,1.0
K,terminator,7,2.529999889166732,5.108183779978031,0.12047618519841581,0.24324684666562052,0.3,1.0
K,terminator,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
K,terminator,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
K,terminator,5,1.731924730079125,3.944454220756919,0.13399998875000704,0.30518463766159004,0.3,1.0
K,terminator,3,0.7799999850000113,2.7917613293476906,0.12999999750000188,0.46529355489128177,0.3,1.0
K,terminator,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
K,terminator,8,3.133697090475492,5.364987321248586,0.12357142081633098,0.21155813303183527,0.3,1.0
K,terminator,7,2.5999998483334226,4.968004565497189,0.12380951658730584,0.23657164597605662,0.3,1.0
K,terminator,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
K,terminator,4,1.1454845061717518,3.585035273857323,0.12333333111111261,0.385997663079144,0.3,1.0
K,terminator,4,1.2074025474233872,3.4357835455971917,0.12999999333333778,0.36992785792574934,0.3,1.0
K,terminator,18,9.235493508962756,7.835397809239853,0.12078430507497574,0.10247347133713844,0.3,1.0
K,terminator,18,8.87566925126038,7.650067597234299,0.11607842521338277,0.1000496722359031,0.3,1.0
Be,bridge,5,1.6026766858230947,4.063348191089589,0.12399999500000314,0.3143835308988808,0.3,1.0
Be,bridge,7,2.4599999300000412,4.665099656294294,0.11714285380952577,0.22214760268068068,0.3,1.0
Be,bridge,13,5.818907133301146,6.68025981553558,0.11756409638355036,0.1349667026521591,0.3,1.0
Be,bridge,11,4.689130698562051,6.207108280491231,0.11890908450909443,0.1574026425214312,0.3,1.0
Be,bridge,5,1.5380526636950798,3.5361703147698216,0.11899999812500119,0.2735954826256316,0.3,1.0
Be,bridge,13,5.983892423889943,6.638489387609481,0.12089742791132911,0.13412278084653645,0.3,1.0
Be,bridge,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
Be,bridge,3,0.7799999850000113,2.4618802153517008,0.12999999750000188,0.41031336922528344,0.3,1.0
Be,bridge,10,4.182068197929283,5.883681638802339,0.12088888172839904,0.1700765411030144,0.3,1.0
Be,bridge,17,8.209539428457061,6.787110915030306,0.11580881763097742,0.09574316525911208,0.3,1.0
Be,bridge,25,13.490261281103054,7.493103872511044,0.11479999395833645,0.06376513110968589,0.3,1.0
Be,bridge,5,1.731924730079125,3.944454220756919,0.13399998875000704,0.30518463766159004,0.3,1.0
Be,bridge,3,0.7799999850000113,2.4618802153517008,0.12999999750000188,0.41031336922528344,0.3,1.0
Be,bridge,7,2.5999998483334226,4.755300046614703,0.12380951658730584,0.22644285936260491,0.3,1.0
Be,bridge,11,4.689130698562051,6.156086422788871,0.11890908450909443,0.1561088073141504,0.3,1.0
Be,bridge,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
Be,bridge,3,0.7799999850000113,2.4618802153517008,0.12999999750000188,0.41031336922528344,0.3,1.0
Be,bridge,4,1.1454845061717518,3.09311479667057,0.12333333111111261,0.33303300858899104,0.3,1.0
Be,bridge,7,2.5999998483334226,4.886576827933832,0.12380951658730584,0.23269413466351582,0.3,1.0
Be,bridge,7,2.529999889166732,4.6151208321338615,0.12047618519841581,0.21976765867304102,0.3,1.0
Be,bridge,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
Be,bridge,16,7.553630964394151,6.555894266057178,0.11549999440000298,0.10024394289129115,0.3,1.0
Be,bridge,3,0.7799999850000113,2.4618802153517008,0.12999999750000188,0.41031336922528344,0.3,1.0
Be,bridge,5,1.6026766858230947,3.610983723046882,0.12399999500000314,0.27938383802778455,0.3,1.0
Be,bridge,12,5.207527637366848,5.968083748494193,0.11727272148760648,0.13440032813839592,0.3,1.0
Be,bridge,3,0.7799999850000113,2.7917613293476906,0.12999999750000188,0.46529355489128177,0.3,1.0
Be,bridge,15,7.165713832653303,6.8787632521120585,0.11942856387755504,0.11464605420186764,0.3,1.0
Be,bridge,4,1.1454845061717518,3.09311479667057,0.12333333111111261,0.33303300858899104,0.3,1.0
Be,bridge,25,14.175741716310904,8.635543227527517,0.12063332425347693,0.07348710967783806,0.3,1.0
Be,bridge,8,2.988786316072858,5.765156082163079,0.11785713836734953,0.2273380316387588,0.3,1.0
Be,bridge,20,10.51382013736732,7.032440175084181,0.11968420227147251,0.08005387018039295,0.3,1.0
Be,bridge,8,2.988786316072858,5.277003608250418,0.11785713836734953,0.2080886616343205,0.3,1.0
Be,bridge,14,6.527512193801404,7.02074641006028,0.1193406520033852,0.12835831312925944,0.3,1.0
Be,bridge,17,8.475372006075451,7.38774138177391,0.11955881563879098,0.10421602841945042,0.3,1.0
Be,bridge,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
Be,bridge,5,1.5380526636950798,3.729877693379552,0.11899999812500119,0.28858273126507533,0.3,1.0
Be,bridge,17,8.209539428457061,6.882190788578883,0.11580881763097742,0.09708442049421033,0.3,1.0
Be,bridge,3,0.7799999850000113,2.4618802153517008,0.12999999750000188,0.41031336922528344,0.3,1.0
Be,bridge,13,5.901399778595544,6.903202426491133,0.11923076214743973,0.13947099289119402,0.3,1.0
Be,bridge,7,2.529999889166732,5.177031952180218,0.12047618519841581,0.24652533105620084,0.3,1.0
Be,bridge,3,0.7799999850000113,2.4618802153517008,0.12999999750000188,0.41031336922528344,0.3,1.0
Be,bridge,3,0.7799999850000113,2.4618802153517008,0.12999999750000188,0.41031336922528344,0.3,1.0
Be,bridge,13,5.818907133301146,5.944734194178719,0.11756409638355036,0.12010628246313429,0.3,1.0
Be,bridge,8,2.988786316072858,5.277003608250418,0.11785713836734953,0.2080886616343205,0.3,1.0
Be,bridge,3,0.7799999850000113,2.4618802153517008,0.12999999750000188,0.41031336922528344,0.3,1.0
Be,bridge,24,12.768584800847663,7.522316680095021,0.114565211531194,0.06749344701086243,0.3,1.0
Be,bridge,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
Be,bridge,7,2.529999889166732,4.6151208321338615,0.12047618519841581,0.21976765867304102,0.3,1.0
Be,bridge,14,6.359215458765741,6.8400665860913294,0.11626373058326597,0.1250549952102539,0.3,1.0
Be,bridge,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
Be,bridge,9,3.687339942409116,5.77264258852061,0.12333332520833787,0.1930820637102303,0.3,1.0
Be,bridge,18,9.055581380111567,7.410938205549698,0.11843136514417925,0.09692227277754213,0.3,1.0
Be,bridge,9,3.537853262225443,5.498977883717097,0.11833332802083632,0.18392858761018735,0.3,1.0
Be,bridge,9,3.6125966023172795,5.562861154139799,0.12083332661458711,0.18606534101222594,0.3,1.0
Be,bridge,5,1.5380526636950798,3.5361703147698216,0.11899999812500119,0.2735954826256316,0.3,1.0
Be,bridge,3,0.7799999850000113,2.7917613293476906,0.12999999750000188,0.46529355489128177,0.3,1.0
Be,bridge,9,3.6125966023172795,5.660470026405752,0.12083332661458711,0.18933014083389102,0.3,1.0
Be,bridge,4,1.1454845061717518,3.09311479667057,0.12333333111111261,0.33303300858899104,0.3,1.0
Be,bridge,6,2.0212954765049975,4.821573025706041,0.11999999600000241,0.28624649415377734,0.3,1.0
Be,bridge,3,0.7799999850000113,2.4618802153517008,0.12999999750000188,0.41031336922528344,0.3,1.0
Be,bridge,20,10.51382013736732,7.854942794759008,0.11968420227147251,0.08941683897915612,0.3,1.0
Be,bridge,10,4.028315766963421,6.041949681037556,0.11644443975308905,0.1746515135170539,0.3,1.0
Be,bridge,4,1.2074025474233872,3.4357835455971917,0.12999999333333778,0.36992785792574934,0.3,1.0
Be,bridge,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
Be,bridge,15,6.994285353061417,6.427097240254837,0.11657142255102362,0.10711828733758062,0.3,1.0
Be,bridge,20,10.51382013736732,7.909510725299938,0.11968420227147251,0.0900380136950127,0.3,1.0
Be,bridge,8,2.988786316072858,5.4965706768618015,0.11785713836734953,0.21674687391503222,0.3,1.0
Be,bridge,10,4.182068197929283,6.0211471838252235,0.12088888172839904,0.1740501864926878,0.3,1.0
Be,bridge,11,4.689130698562051,6.034985994504874,0.11890908450909443,0.15303788820640934,0.3,1.0
Be,bridge,6,2.0212954765049975,3.9333478694030286,0.11999999600000241,0.23351446341289747,0.3,1.0
Be,bridge,7,2.4599999300000412,4.483727262009443,0.11714285380952577,0.21351082200044966,0.3,1.0
Be,bridge,17,8.386761146869322,7.321016341591978,0.11830881630285313,0.10327476392133944,0.3,1.0
Be,bridge,21,10.930066262814716,8.061114453337664,0.11671427893928928,0.08607881583200037,0.3,1.0
Be,bridge,8,3.133697090475492,5.794672225822808,0.12357142081633098,0.22850194496660958,0.3,1.0
Be,bridge,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
Be,bridge,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
Be,bridge,12,5.207527637366848,6.400603748237252,0.11727272148760648,0.14414061201201833,0.3,1.0
Be,bridge,15,7.165713832653303,7.061225573485303,0.11942856387755504,0.11768709289142172,0.3,1.0
Be,bridge,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
Be,bridge,9,3.537853262225443,5.498977883717097,0.11833332802083632,0.18392858761018735,0.3,1.0
Be,bridge,9,3.537853262225443,5.498977883717097,0.11833332802083632,0.18392858761018735,0.3,1.0
Be,bridge,12,5.207527637366848,5.8166140528981005,0.11727272148760648,0.13098925388926627,0.3,1.0
Be,bridge,20,10.60628992917856,7.941633574954921,0.12073683329640353,0.09040368455350294,0.3,1.0
Be,bridge,9,3.4631099221336066,5.351713592986295,0.11583332942708555,0.1790029244101704,0.3,1.0
Be,bridge,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
Be,bridge,8,3.133697090475492,5.50520875315861,0.12357142081633098,0.217087500124362,0.3,1.0
Be,bridge,11,4.689130698562051,5.803135184420382,0.11890908450909443,0.14715851112308492,0.3,1.0
Be,bridge,22,11.632015767897101,8.17470252692652,0.11688310994434502,0.08214265465957196,0.3,1.0
Be,bridge,11,4.846868961837738,6.176789800157693,0.12290908230909565,0.1566338128658037,0.3,1.0
Mg,bridge,23,12.246017327436343,7.680804425919331,0.11612647560187196,0.07283549613889014,0.3,1.0
Mg,bridge,5,1.6026766858230947,4.063348191089589,0.12399999500000314,0.3143835308988808,0.3,1.0
Mg,bridge,7,2.529999889166732,5.339166134522258,0.12047618519841581,0.2542460064058218,0.3,1.0
Mg,bridge,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
Mg,bridge,20,10.60628992917856,7.83407065640687,0.12073683329640353,0.08917924073268269,0.3,1.0
Mg,bridge,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
Mg,bridge,8,2.843875541670223,4.817841000766638,0.11214285591836806,0.18998245221000992,0.3,1.0
Mg,bridge,10,4.182068197929283,6.313007926766097,0.12088888172839904,0.18248685398940911,0.3,1.0
Mg,bridge,6,2.0212954765049975,4.902760431941739,0.11999999600000241,0.29106641708774644,0.3,1.0
Mg,bridge,10,4.258944413412214,6.459006404091508,0.12311110271605405,0.18670715643848373,0.3,1.0
Mg,bridge,14,6.527512193801404,6.971782612471327,0.1193406520033852,0.12746312192082687,0.3,1.0
Mg,bridge,15,7.0799995928573605,6.465437700763194,0.11799999321428935,0.1077572950127199,0.3,1.0
Mg,bridge,25,13.881964386936113,7.6203263376021475,0.1181333255555596,0.06484777420454439,0.3,1.0
Mg,bridge,4,1.1454845061717518,3.09311479667057,0.12333333111111261,0.33303300858899104,0.3,1.0
Mg,bridge,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
Mg,bridge,15,7.2514280724492455,7.1029591181764955,0.12085713454082075,0.11838265196960826,0.3,1.0
Mg,bridge,5,1.6026766858230947,3.610983723046882,0.12399999500000314,0.27938383802778455,0.3,1.0
Mg,bridge,8,3.061241703274175,5.564751960834659,0.12071427959184025,0.219435473958481,0.3,1.0
Mg,bridge,7,2.5999998483334226,4.886576827933832,0.12380951658730584,0.23269413466351582,0.3,1.0
Mg,bridge,11,4.689130698562051,5.744417665716959,0.11890908450909443,0.14566952588413418,0.3,1.0
Mg,bridge,6,2.0212954765049975,4.278679976443769,0.11999999600000241,0.2540160931574089,0.3,1.0
Mg,bridge,7,2.5999998483334226,5.270317962320071,0.12380951658730584,0.2509675220152415,0.3,1.0
Mg,bridge,8,2.988786316072858,5.765156082163079,0.11785713836734953,0.2273380316387588,0.3,1.0
Mg,bridge,6,2.0212954765049975,4.821573025706041,0.11999999600000241,0.28624649415377734,0.3,1.0
