base,depth,Z,kurt_trapz,kurt_fdm,abs_err,t_trapz_sec,t_fdm_sec,speedup
2,8,1,-0.22709100725259113,-0.2270760259304887,1.498132210242531e-05,0.00016579998191446066,9.579997276887298e-05,1.7306892384455026
2,8,6,-0.22709100725259113,-0.2270760259304887,1.498132210242531e-05,0.00016769999638199806,9.440002031624317e-05,1.776482630196451
2,8,8,-0.22709100725259113,-0.2270760259304887,1.498132210242531e-05,0.0003619000199250877,9.23000043258071e-05,3.9209101079521878
2,8,14,-0.22709100725259113,-0.2270760259304887,1.498132210242531e-05,0.00016200001118704677,8.759996853768826e-05,1.8493158603972475
2,8,26,-0.22709100725259113,-0.2270760259304887,1.498132210242531e-05,0.00017409998690709472,9.169999975711107e-05,1.898582195945903
2,9,1,-0.22709100725259113,-0.22710171690466385,1.0709652072726783e-05,0.00016579998191446066,0.00010360003216192126,1.6003854289863948
2,9,6,-0.22709100725259113,-0.22710171690466385,1.0709652072726783e-05,0.00016769999638199806,9.830005001276731e-05,1.706001129808347
2,9,8,-0.22709100725259113,-0.22710171690466385,1.0709652072726783e-05,0.0003619000199250877,9.980000322684646e-05,3.626252587412098
2,9,14,-0.22709100725259113,-0.22710171690466385,1.0709652072726783e-05,0.00016200001118704677,9.789998875930905e-05,1.6547500489027647
2,9,26,-0.22709100725259113,-0.22710171690466385,1.0709652072726783e-05,0.00017409998690709472,0.00010459998156875372,1.6644361145767368
2,10,1,-0.22709100725259113,-0.22709249448440216,1.4872318110370486e-06,0.00016579998191446066,0.00012809998588636518,1.2943013285070801
2,10,6,-0.22709100725259113,-0.22709249448440216,1.4872318110370486e-06,0.00016769999638199806,0.00012550002429634333,1.3362546925569345
2,10,8,-0.22709100725259113,-0.22709249448440216,1.4872318110370486e-06,0.0003619000199250877,0.0001262999721802771,2.8654006305600888
2,10,14,-0.22709100725259113,-0.22709249448440216,1.4872318110370486e-06,0.00016200001118704677,0.0001289999927394092,1.2558141108914662
2,10,26,-0.22709100725259113,-0.22709249448440216,1.4872318110370486e-06,0.00017409998690709472,0.00014139997074380517,1.231259002327072
3,5,1,-0.22709100725259113,-0.227085305805935,5.701446656125597e-06,0.00016579998191446066,8.399999933317304e-05,1.973809324174404
3,5,6,-0.22709100725259113,-0.227085305805935,5.701446656125597e-06,0.00016769999638199806,8.379999781027436e-05,2.001193326540124
3,5,8,-0.22709100725259113,-0.227085305805935,5.701446656125597e-06,0.0003619000199250877,8.530000923201442e-05,4.242672693513156
3,5,14,-0.22709100725259113,-0.227085305805935,5.701446656125597e-06,0.00016200001118704677,8.319999324157834e-05,1.9471156772412925
3,5,26,-0.22709100725259113,-0.227085305805935,5.701446656125597e-06,0.00017409998690709472,8.219998562708497e-05,2.1180050772384638
3,6,1,-0.22709100725259113,-0.2270908749645768,1.322880143206362e-07,0.00016579998191446066,0.00011600001016631722,1.4293100636520788
3,6,6,-0.22709100725259113,-0.2270908749645768,1.322880143206362e-07,0.00016769999638199806,0.00011530000483617187,1.4544665164609543
3,6,8,-0.22709100725259113,-0.2270908749645768,1.322880143206362e-07,0.0003619000199250877,0.00011720001930370927,3.087883620456314
3,6,14,-0.22709100725259113,-0.2270908749645768,1.322880143206362e-07,0.00016200001118704677,0.00011510000331327319,1.4074718203623642
3,6,26,-0.22709100725259113,-0.2270908749645768,1.322880143206362e-07,0.00017409998690709472,0.00011500000255182385,1.5139128960335275
3,7,1,-0.22709100725259113,-0.22709097791417943,2.9338411700052802e-08,0.00016579998191446066,0.0001919999485835433,0.8635418037225022
3,7,6,-0.22709100725259113,-0.22709097791417943,2.9338411700052802e-08,0.00016769999638199806,0.00019079999765381217,0.8789308094556333
3,7,8,-0.22709100725259113,-0.22709097791417943,2.9338411700052802e-08,0.0003619000199250877,0.0001925000105984509,1.88
3,7,14,-0.22709100725259113,-0.22709097791417943,2.9338411700052802e-08,0.00016200001118704677,0.00019339995924383402,0.8376424267122055
3,7,26,-0.22709100725259113,-0.22709097791417943,2.9338411700052802e-08,0.00017409998690709472,0.00020399998174980283,0.8534313847175773
3,8,1,-0.22709100725259113,-0.22709102814028004,2.088768891184145e-08,0.00016579998191446066,0.00038320000749081373,0.43267217816647696
3,8,6,-0.22709100725259113,-0.22709102814028004,2.088768891184145e-08,0.00016769999638199806,0.00038819998735561967,0.43199382237066525
